Classifier,Preprocessing,Accuracy,Precision,Recall/TPR,FPR,FNR,TNR,F1-Score,ROC curve (area),Balanced Accuracy,Time Train
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 2, max_features: log2",Reshape,0.9588678934399832,0.1643041237113402,0.9976121841445885,0.8356958762886598,0.002387815855411466,0.1643041237113402,0.2708443972384493,0.865574144163269,0.8655741441632689,0.7151634693145752
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9715999730379491,0.23336214347450301,0.9981069569332702,0.766637856525497,0.001893043066729768,0.23336214347450301,0.36290322580645157,0.8944356183428253,0.8944356183428253,2.5894811153411865
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 3, min_samples_leaf: 3, max_features: log2",Reshape,0.9552879322353787,0.14599207558671137,0.9971171795619058,0.8540079244132887,0.002882820438094188,0.14599207558671137,0.2429622115140756,0.8405868375008487,0.8405868375008487,0.7305619716644287
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9708660060964193,0.22608881298035866,0.9979431374527504,0.7739111870196413,0.0020568625472496254,0.22608881298035866,0.35252996005326237,0.8862138727227266,0.8862138727227266,2.581447124481201
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 1, max_features: log2",Reshape,0.9622306603455636,0.1777854791197366,0.9976673189823875,0.8222145208802634,0.0023326810176125244,0.1777854791197366,0.28921775898520086,0.8695155348923435,0.8695155348923436,0.7389309406280518
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9666494409119165,0.20619718309859156,0.998237074479703,0.7938028169014084,0.001762925520297045,0.20619718309859156,0.3302752293577982,0.8986650644772642,0.8986650644772642,2.691380023956299
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 2, max_features: log2",Reshape,0.9667842511664831,0.19081693500298152,0.9971670947155421,0.8091830649970185,0.0028329052844579343,0.19081693500298152,0.3021243115656963,0.8471402893699317,0.8471402893699316,0.7200791835784912
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 3, max_features: sqrt",Reshape,0.969263261958793,0.21563011456628478,0.9979010051852946,0.7843698854337152,0.0020989948147054024,0.21563011456628478,0.339343206696716,0.8835351682752511,0.8835351682752512,2.6909232139587402
"DTreeClassifier: criterion: gini, max_depth: 7, min_samples_split: 5, min_samples_leaf: 3, max_features: log2",Reshape,0.9662075628552812,0.18732836406433895,0.9971266829150541,0.812671635935661,0.002873317084945843,0.18732836406433895,0.2974151354718156,0.8449797509927907,0.8449797509927908,0.7621464729309082
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9523221066349113,0.11203447214527547,0.9953079363579824,0.8879655278547245,0.004692063642017587,0.11203447214527547,0.18614165175147018,0.7531009805996074,0.7531009805996073,1.4830973148345947
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1, max_features: log2",Reshape,0.9030489585907835,0.061504792091162934,0.9957678556581026,0.9384952079088371,0.004232144341897398,0.061504792091162934,0.11183533447684392,0.7607435930497118,0.7607435930497117,0.48761820793151855
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9360250447495151,0.09666964684845776,0.9963154134523532,0.9033303531515422,0.0036845865476467614,0.09666964684845776,0.16841900311526478,0.7960898332702084,0.7960898332702084,1.5540592670440674
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 2, max_features: log2",Reshape,0.9563214775203901,0.12545696244599536,0.9955373599052572,0.8745430375540046,0.004462640094742868,0.12545696244599536,0.20566603105420866,0.7652149479056102,0.7652149479056102,0.4994640350341797
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9301383303001026,0.09673518742442563,0.997054944699305,0.9032648125755743,0.002945055300695001,0.09673518742442563,0.17069701280227595,0.8286338179674035,0.8286338179674035,1.5557546615600586
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 2, min_samples_leaf: 3, max_features: log2",Reshape,0.956126751597127,0.10751385041551247,0.9944968491917492,0.8924861495844876,0.005503150808250812,0.10751385041551247,0.17492957746478874,0.7150191995800829,0.7150191995800829,0.4768366813659668
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 1, max_features: sqrt",Reshape,0.959422113375424,0.13679914833215046,0.9956758024787895,0.8632008516678495,0.004324197521210463,0.13679914833215046,0.22155172413793103,0.7727625731459506,0.7727625731459506,1.4927160739898682
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 1, max_features: log2",Reshape,0.9353734618524426,0.08108728065145085,0.9950561689716511,0.9189127193485491,0.004943831028348905,0.08108728065145085,0.14079458329184505,0.7366906981745888,0.7366906981745887,0.4830174446105957
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 2, max_features: sqrt",Reshape,0.94276555747785,0.0880281690140845,0.9948431900709558,0.9119718309859155,0.005156809929044203,0.0880281690140845,0.15013345195729536,0.7284602025673165,0.7284602025673165,1.5084877014160156
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 2, max_features: log2",Reshape,0.9378449831861655,0.08278502213183395,0.9949505440948531,0.9172149778681661,0.005049455905146929,0.08278502213183395,0.14293090984199114,0.732330916367674,0.732330916367674,0.4788694381713867
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9320855895327327,0.09284963196635121,0.9964438638507874,0.9071503680336488,0.00355613614921257,0.09284963196635121,0.16300535351670667,0.8008298810068019,0.800829881006802,1.4914181232452393
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 3, min_samples_leaf: 3, max_features: log2",Reshape,0.8932227889245886,0.055597553432753764,0.9956711776078003,0.9444024465672463,0.004328822392199714,0.055597553432753764,0.1019212598425197,0.7535381343009393,0.7535381343009393,0.4984002113342285
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9590925771975943,0.12666907253699025,0.9951398276279703,0.8733309274630098,0.004860172372029786,0.12666907253699025,0.20448587241479754,0.7467997271855125,0.7467997271855125,1.519636869430542
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 1, max_features: log2",Reshape,0.9337931860905775,0.08058035714285715,0.9951670265974101,0.9194196428571428,0.004832973402589895,0.08058035714285715,0.14041229093737845,0.7415005658382172,0.7415005658382172,0.4986116886138916
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 2, max_features: sqrt",Reshape,0.959804075763363,0.14011037920598185,0.9958015386539905,0.8598896207940182,0.004198461346009507,0.14011037920598185,0.22676847716467366,0.7789372474116093,0.7789372474116092,1.4616224765777588
